type,Red,Red,White,White
great wine,False,True,False,True
alcohol,10.248910374462861,11.589126016260163,10.33149494949495,11.51426923076923
sulphates,0.6442909760589319,0.7446341463414634,0.486010101010101,0.4941538461538461
pH,3.314705340699816,3.283841463414634,3.187626262626263,3.2445769230769232
free_sulfur_dioxide,16.107734806629836,13.926829268292684,35.38030303030303,33.95
volatile_acidity,0.549364640883978,0.40887195121951225,0.28945959595959597,0.26726923076923076
residual_sugar,2.501841620626151,2.760975609756098,6.241212121212121,4.620769230769231
fixed_acidity,8.216758747697973,8.856097560975611,6.907828282828283,6.623076923076923
total_sulfur_dioxide,48.249079189686924,34.957317073170735,143.12121212121212,122.9076923076923
citric_acid,0.25517495395948436,0.37841463414634147,0.33474747474747474,0.3283846153846154
density,0.996839290976059,0.9959726219512195,0.994265106060606,0.9920326153846153
chlorides,0.08927163904235727,0.07653048780487803,0.047768686868686856,0.03890384615384614
